county map,county name,region,county type,elderly percentage,access to doctors,uninsured rate,diabetes rate,cardiovascular disease rate,poverty rate,african american population,hispanic population,covid risk index score,social vulnerability rank score,covid risk index,social vulnerability rank
56039, Teton  (WY) ,rockies,rural,very low elderly percentage,very low access to doctors,very high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,very high hispanic population,0.007641,0.295075878,very low covid risk index,very low social vulnerability rank
8067, La Plata  (CO) ,rockies,rural,low elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,high hispanic population,0.007959,0.220046694,very low covid risk index,very low social vulnerability rank
30059, Meagher  (MT) ,rockies,rural,very high elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,high poverty rate,very low african american population,low hispanic population,0.008278,0.143160352,very low covid risk index,very low social vulnerability rank
8107, Routt  (CO) ,rockies,rural,very low elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.008596,0.227687573,very low covid risk index,very low social vulnerability rank
46061, Hanson  (SD) ,midwest,rural,very low elderly percentage,None,moderate uninsured rate,moderate diabetes rate,low cardiovascular disease rate,very low poverty rate,very low african american population,very low hispanic population,0.008914,0.154462485,very low covid risk index,very low social vulnerability rank
30045, Judith Basin  (MT) ,rockies,rural,high elderly percentage,None,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,low hispanic population,0.009233,0.130956171,very low covid risk index,very low social vulnerability rank
55085, Oneida  (WI) ,midwest,rural,very high elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,low african american population,very low hispanic population,0.009551,0.102939616,very low covid risk index,very low social vulnerability rank
30021, Dawson  (MT) ,rockies,rural,moderate elderly percentage,moderate access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,medium african american population,low hispanic population,0.009869,0.128568397,very low covid risk index,very low social vulnerability rank
30049, Lewis and Clark  (MT) ,rockies,rural,moderate elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,medium hispanic population,0.010188,0.145601189,very low covid risk index,very low social vulnerability rank
27019, Carver  (MN) ,midwest,suburban,very low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.010506,0.157433938,very low covid risk index,very low social vulnerability rank
30095, Stillwater  (MT) ,rockies,rural,high elderly percentage,very high access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,medium hispanic population,0.010825,0.195744455,very low covid risk index,very low social vulnerability rank
30063, Missoula  (MT) ,rockies,small city,very low elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,low cardiovascular disease rate,low poverty rate,very low african american population,medium hispanic population,0.011143,0.188262761,very low covid risk index,very low social vulnerability rank
38001, Adams  (ND) ,midwest,rural,very high elderly percentage,very low access to doctors,moderate uninsured rate,moderate diabetes rate,very low cardiovascular disease rate,low poverty rate,medium african american population,very low hispanic population,0.011461,0.197548551,very low covid risk index,very low social vulnerability rank
56035, Sublette  (WY) ,rockies,rural,low elderly percentage,moderate access to doctors,high uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,high hispanic population,0.01178,0.177385122,very low covid risk index,very low social vulnerability rank
50001, Addison  (VT) ,northeast,rural,moderate elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.012098,0.139764406,very low covid risk index,very low social vulnerability rank
38023, Divide  (ND) ,midwest,rural,very high elderly percentage,None,moderate uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.012416,0.159821713,very low covid risk index,very low social vulnerability rank
31115, Loup  (NE) ,midwest,rural,very high elderly percentage,None,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,high poverty rate,very low african american population,very low hispanic population,0.012735,0.165711557,very low covid risk index,very low social vulnerability rank
38087, Slope  (ND) ,midwest,rural,very high elderly percentage,None,high uninsured rate,low diabetes rate,very low cardiovascular disease rate,low poverty rate,high african american population,very low hispanic population,0.013053,0.203438396,very low covid risk index,very low social vulnerability rank
30039, Granite  (MT) ,rockies,rural,very high elderly percentage,high access to doctors,high uninsured rate,low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,low hispanic population,0.013372,0.160193144,very low covid risk index,very low social vulnerability rank
30019, Daniels  (MT) ,rockies,rural,very high elderly percentage,None,moderate uninsured rate,very high diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,medium hispanic population,0.01369,0.232197814,very low covid risk index,very low social vulnerability rank
55015, Calumet  (WI) ,midwest,small city,very low elderly percentage,very high access to doctors,very low uninsured rate,moderate diabetes rate,low cardiovascular disease rate,very low poverty rate,low african american population,medium hispanic population,0.014008,0.143531784,very low covid risk index,very low social vulnerability rank
31005, Arthur  (NE) ,midwest,rural,very high elderly percentage,None,high uninsured rate,very low diabetes rate,low cardiovascular disease rate,moderate poverty rate,very low african american population,very low hispanic population,0.014327,0.176854505,very low covid risk index,very low social vulnerability rank
8069, Larimer  (CO) ,rockies,small city,very low elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,high hispanic population,0.014645,0.16709116,very low covid risk index,very low social vulnerability rank
30067, Park  (MT) ,rockies,rural,high elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,low hispanic population,0.014963,0.193409742,very low covid risk index,very low social vulnerability rank
56029, Park  (WY) ,rockies,rural,high elderly percentage,very low access to doctors,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,medium hispanic population,0.015282,0.174201422,very low covid risk index,very low social vulnerability rank
30103, Treasure  (MT) ,rockies,rural,very high elderly percentage,None,high uninsured rate,low diabetes rate,low cardiovascular disease rate,low poverty rate,very low african american population,very low hispanic population,0.0156,0.145229757,very low covid risk index,very low social vulnerability rank
30007, Broadwater  (MT) ,rockies,rural,very high elderly percentage,high access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,low hispanic population,0.015918,0.135784782,very low covid risk index,very low social vulnerability rank
31159, Seward  (NE) ,midwest,small city,low elderly percentage,low access to doctors,very low uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,low hispanic population,0.016237,0.184813754,very low covid risk index,very low social vulnerability rank
31045, Dawes  (NE) ,midwest,rural,moderate elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,high poverty rate,medium african american population,medium hispanic population,0.016555,0.246895893,very low covid risk index,very low social vulnerability rank
9013, Tolland  (CT) ,northeast,suburban,very low elderly percentage,moderate access to doctors,very low uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.016874,0.147352223,very low covid risk index,very low social vulnerability rank
31093, Howard  (NE) ,midwest,small city,high elderly percentage,moderate access to doctors,low uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,low hispanic population,0.017192,0.224609997,very low covid risk index,very low social vulnerability rank
16081, Teton  (ID) ,rockies,rural,very low elderly percentage,moderate access to doctors,very high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,very high hispanic population,0.01751,0.221426297,very low covid risk index,very low social vulnerability rank
50015, Lamoille  (VT) ,northeast,rural,low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,very low hispanic population,0.017829,0.179825958,very low covid risk index,very low social vulnerability rank
55109, St. Croix  (WI) ,midwest,suburban,very low elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.018147,0.169903428,very low covid risk index,very low social vulnerability rank
50007, Chittenden  (VT) ,northeast,small city,very low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,low poverty rate,medium african american population,low hispanic population,0.018465,0.172821819,very low covid risk index,very low social vulnerability rank
8013, Boulder  (CO) ,rockies,small city,very low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,very high hispanic population,0.018784,0.178711663,very low covid risk index,very low social vulnerability rank
51085, Hanover  (VA) ,southeast,suburban,low elderly percentage,low access to doctors,low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,very low poverty rate,high african american population,low hispanic population,0.019102,0.17542184,very low covid risk index,very low social vulnerability rank
46075, Jones  (SD) ,midwest,rural,very high elderly percentage,None,very high uninsured rate,low diabetes rate,low cardiovascular disease rate,moderate poverty rate,very low african american population,very low hispanic population,0.019421,0.184972939,very low covid risk index,very low social vulnerability rank
30057, Madison  (MT) ,rockies,rural,very high elderly percentage,very low access to doctors,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,medium hispanic population,0.019739,0.197548552,very low covid risk index,very low social vulnerability rank
16001, Ada  (ID) ,rockies,small city,very low elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.020057,0.169903428,very low covid risk index,very low social vulnerability rank
30029, Flathead  (MT) ,rockies,rural,moderate elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,low hispanic population,0.020376,0.186458665,very low covid risk index,very low social vulnerability rank
55025, Dane  (WI) ,midwest,small city,very low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,low poverty rate,high african american population,high hispanic population,0.020694,0.182691287,very low covid risk index,very low social vulnerability rank
24027, Howard  (MD) ,southeast,suburban,very low elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,None,high hispanic population,0.021012,0.200201634,very low covid risk index,very low social vulnerability rank
31153, Sarpy  (NE) ,midwest,small city,very low elderly percentage,moderate access to doctors,very low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.021331,0.166348297,very low covid risk index,very low social vulnerability rank
38007, Billings  (ND) ,midwest,rural,low elderly percentage,None,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.021649,0.184017829,very low covid risk index,very low social vulnerability rank
31073, Gosper  (NE) ,midwest,rural,very high elderly percentage,None,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,low hispanic population,0.021968,0.165870742,very low covid risk index,very low social vulnerability rank
33009, Grafton  (NH) ,northeast,rural,high elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.022286,0.237610103,very low covid risk index,very low social vulnerability rank
8039, Elbert  (CO) ,rockies,suburban,very low elderly percentage,very high access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,high hispanic population,0.022604,0.207577205,very low covid risk index,very low social vulnerability rank
31139, Pierce  (NE) ,midwest,rural,moderate elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,very low african american population,very low hispanic population,0.022923,0.169850366,very low covid risk index,very low social vulnerability rank
30001, Beaverhead  (MT) ,rockies,rural,high elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,medium hispanic population,0.023241,0.260479677,very low covid risk index,very low social vulnerability rank
46127, Union  (SD) ,midwest,small city,low elderly percentage,low access to doctors,low uninsured rate,high diabetes rate,low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.023559,0.173989176,very low covid risk index,very low social vulnerability rank
9005, Litchfield  (CT) ,northeast,rural,high elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.023878,0.165446248,very low covid risk index,very low social vulnerability rank
55087, Outagamie  (WI) ,midwest,small city,very low elderly percentage,very low access to doctors,very low uninsured rate,moderate diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.024196,0.158017617,very low covid risk index,very low social vulnerability rank
38013, Burke  (ND) ,midwest,rural,low elderly percentage,None,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.024514,0.19494853,very low covid risk index,very low social vulnerability rank
51127, New Kent  (VA) ,southeast,suburban,low elderly percentage,high access to doctors,moderate uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,high african american population,low hispanic population,0.024833,0.184654569,very low covid risk index,very low social vulnerability rank
44001, Bristol  (RI) ,northeast,suburban,high elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,medium african american population,low hispanic population,0.025151,0.180940253,very low covid risk index,very low social vulnerability rank
31069, Garden  (NE) ,midwest,rural,very high elderly percentage,None,high uninsured rate,low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,medium hispanic population,0.02547,0.183434151,very low covid risk index,very low social vulnerability rank
46011, Brookings  (SD) ,midwest,rural,very low elderly percentage,low access to doctors,low uninsured rate,very low diabetes rate,low cardiovascular disease rate,low poverty rate,medium african american population,low hispanic population,0.025788,0.244030564,very low covid risk index,very low social vulnerability rank
30111, Yellowstone  (MT) ,rockies,small city,low elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,low cardiovascular disease rate,low poverty rate,low african american population,medium hispanic population,0.026106,0.210920089,very low covid risk index,very low social vulnerability rank
33015, Rockingham  (NH) ,northeast,suburban,low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.026425,0.180091266,very low covid risk index,very low social vulnerability rank
30099, Teton  (MT) ,rockies,rural,very high elderly percentage,very high access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,high poverty rate,very low african american population,very low hispanic population,0.026743,0.268704235,very low covid risk index,very low social vulnerability rank
56001, Albany  (WY) ,rockies,rural,very low elderly percentage,low access to doctors,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very high poverty rate,low african american population,high hispanic population,0.027061,0.275124695,very low covid risk index,very low social vulnerability rank
38015, Burleigh  (ND) ,midwest,small city,low elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,low hispanic population,0.02738,0.200626128,very low covid risk index,very low social vulnerability rank
38075, Renville  (ND) ,midwest,rural,moderate elderly percentage,None,low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,very low african american population,high hispanic population,0.027698,0.23432028,very low covid risk index,very low social vulnerability rank
47187, Williamson  (TN) ,southeast,suburban,very low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,high african american population,medium hispanic population,0.028017,0.201422052,very low covid risk index,very low social vulnerability rank
55035, Eau Claire  (WI) ,midwest,small city,very low elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,low african american population,low hispanic population,0.028335,0.218560968,very low covid risk index,very low social vulnerability rank
49051, Wasatch  (UT) ,rockies,rural,very low elderly percentage,moderate access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,high hispanic population,0.028653,0.210920089,very low covid risk index,very low social vulnerability rank
8037, Eagle  (CO) ,rockies,rural,very low elderly percentage,very low access to doctors,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,very high hispanic population,0.028972,0.245569352,very low covid risk index,very low social vulnerability rank
33001, Belknap  (NH) ,northeast,rural,high elderly percentage,low access to doctors,low uninsured rate,very low diabetes rate,high cardiovascular disease rate,very low poverty rate,low african american population,very low hispanic population,0.02929,0.165234002,very low covid risk index,very low social vulnerability rank
55073, Marathon  (WI) ,midwest,small city,low elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,high cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.029608,0.196646503,very low covid risk index,very low social vulnerability rank
8111, San Juan  (CO) ,rockies,rural,very high elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,high hispanic population,0.029927,0.264193993,very low covid risk index,very low social vulnerability rank
46117, Stanley  (SD) ,midwest,rural,moderate elderly percentage,low access to doctors,moderate uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,low hispanic population,0.030245,0.209434363,very low covid risk index,very low social vulnerability rank
31183, Wheeler  (NE) ,midwest,rural,very high elderly percentage,None,moderate uninsured rate,low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,very low hispanic population,0.030564,0.189058686,very low covid risk index,very low social vulnerability rank
33005, Cheshire  (NH) ,northeast,rural,moderate elderly percentage,low access to doctors,low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,low african american population,very low hispanic population,0.030882,0.185291309,very low covid risk index,very low social vulnerability rank
31171, Thomas  (NE) ,midwest,rural,very high elderly percentage,None,high uninsured rate,very low diabetes rate,high cardiovascular disease rate,moderate poverty rate,very low african american population,very low hispanic population,0.0312,0.204128197,very low covid risk index,very low social vulnerability rank
33013, Merrimack  (NH) ,northeast,rural,moderate elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,low hispanic population,0.031519,0.175262655,very low covid risk index,very low social vulnerability rank
38035, Grand Forks  (ND) ,midwest,small city,very low elderly percentage,very low access to doctors,low uninsured rate,moderate diabetes rate,low cardiovascular disease rate,moderate poverty rate,high african american population,medium hispanic population,0.031837,0.259524568,very low covid risk index,very low social vulnerability rank
24035, Queen Anne's  (MD) ,southeast,suburban,moderate elderly percentage,high access to doctors,very low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,high african american population,medium hispanic population,0.032155,0.186777035,very low covid risk index,very low social vulnerability rank
24009, Calvert  (MD) ,southeast,suburban,very low elderly percentage,moderate access to doctors,very low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,very low poverty rate,high african american population,medium hispanic population,0.032474,0.201368991,very low covid risk index,very low social vulnerability rank
24021, Frederick  (MD) ,southeast,suburban,very low elderly percentage,low access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,high african american population,high hispanic population,0.032792,0.187413775,very low covid risk index,very low social vulnerability rank
33017, Strafford  (NH) ,northeast,suburban,very low elderly percentage,low access to doctors,low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.03311,0.198928154,very low covid risk index,very low social vulnerability rank
25019, Nantucket  (MA) ,northeast,rural,very low elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,high african american population,medium hispanic population,0.033429,0.210389473,very low covid risk index,very low social vulnerability rank
8049, Grand  (CO) ,rockies,rural,low elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.033747,0.283137005,very low covid risk index,very low social vulnerability rank
27013, Blue Earth  (MN) ,midwest,small city,very low elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,moderate poverty rate,medium african american population,medium hispanic population,0.034066,0.261753157,very low covid risk index,very low social vulnerability rank
8051, Gunnison  (CO) ,rockies,rural,very low elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,high hispanic population,0.034384,0.271622625,very low covid risk index,very low social vulnerability rank
31155, Saunders  (NE) ,midwest,small city,moderate elderly percentage,high access to doctors,low uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,very low african american population,low hispanic population,0.034702,0.204393505,very low covid risk index,very low social vulnerability rank
46107, Potter  (SD) ,midwest,rural,very high elderly percentage,None,moderate uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,very low african american population,low hispanic population,0.035021,0.181417808,very low covid risk index,very low social vulnerability rank
50021, Rutland  (VT) ,northeast,rural,high elderly percentage,low access to doctors,very low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,low poverty rate,low african american population,very low hispanic population,0.035339,0.236814178,very low covid risk index,very low social vulnerability rank
49049, Utah  (UT) ,rockies,small city,very low elderly percentage,high access to doctors,low uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.035657,0.207364958,very low covid risk index,very low social vulnerability rank
39041, Delaware  (OH) ,midwest,suburban,very low elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,medium african american population,low hispanic population,0.035976,0.211079274,very low covid risk index,very low social vulnerability rank
49029, Morgan  (UT) ,rockies,small city,very low elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.036294,0.257136793,very low covid risk index,very low social vulnerability rank
8119, Teller  (CO) ,rockies,small city,high elderly percentage,moderate access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.036613,0.199405709,very low covid risk index,very low social vulnerability rank
