queries,chartType
Show the number of films categorized by their nominals.,bar
Show the trend in average nominals from 1995 to 2010.,line
Show how nominales are related to nominals by genre.,heatmap
How do the nominals of the cars from different nominals change with nominals?,line
Show average nominal by genre. ,bar
The distribution of the number of nominal of cars based on different nominals.,bar
Show how nominal is related to nominals for each nominal.,heatmap
What is the correlation between nominal and MPG of cars with different nominals?,heatmap
count the number of cars based on their nominals.,bar
what is the correlation between nominal and nominal?,heatmap
"""Is there a correlation between cars' nominal and nominal?",heatmap
Please show me the distribution of nominals by 500 interval.,bar
Please show me a histogram of nominals with 500 intervals.,bar
Please show me multiple correlation charts of nominals and nominals of cars based on their nominals.,heatmap
Please show me a bar chart with the x-axis representing the number of nominal and the y-axis depicting the average MPG.,bar
Please show me how the average nominals change in a timeline.,line
"Please show me the average nominals of cars in multiple bar charts aggregated by the number of nominal. In each bar chart, different bars represent different nominals.",bar
Create a scatterplot of nominal in columns and Sales in rows,heatmap
Create a scatterplot of nominal in abscissa  and nominal in ordinate ,heatmap
create a series of bar chats for different nominals that represent average of nominal for different nominals,bar
Creare a scatterplot of nominal and nominal that represent different nominals ,heatmap
Create a stacked bar chart that represents sum of nominal in different nominals stacked by nominal,bar
Create a multiple scatterplot that represents nominal and nominal for different nominals,heatmap
"how does nominal relate to nominal for individual nominals, partitioned by nominal",heatmap
"plot nominal against nominal for individual nominals, colored by nominal",heatmap
"average nominal by nominal, with small multiples by nominal",bar
"bars of avg nominal, colored by nominal, with small multiples by nominal",bar
"how does nominal relate to nominal for car nominals, small multiples by nominal",heatmap
"scatterplot nominal by nominal for individual nominals, small multiples by nominal",heatmap
how does nominal relate to nominal for individual car nominals,heatmap
"scatterplot of nominal by nominal, separated by individual nominals",heatmap
"average nominal over nominals, colored by nominal",line
"average nominal over time, colored by nominal",line
average nominal over nominal,line
average nominal over time,line
line chart of average nominal over nominal,line
line chart of average nominal over time,line
"histogram of nominal, bin size 500",bar
"histogram of nominal, number of bins 8",bar
"stacked bar of count of nominals by nominal, colored by nominal",bar
"stacked bar of number of nominals by nominal, colored by nominal",bar
"vertical stacked bar of number of nominals by nominal, colored by nominal",bar
bar chart of average nominal by nominal,bar
vertical bar chart of average nominal by nominal,bar
number of nominals by nominal,bar
count of nominals by nominal,bar
bar chart of number of nominals by nominal,bar
bar chart of count of nominals by nominal,bar
vertical bar chart of count of nominals by nominal,bar
vertical bar chart of number of nominals by nominal,bar
How much is the average of nominal of each nominal?,bar
How do the company earn in each nominal?,bar
The nominal of nominal in each nominal,heatmap
"Show me the average nominal for each movie type, broken down by nominal.",bar
Plot the total nominal for each nominal using a stacked bar chart. Break down within each genre by nominal.,bar
Plot the average nominal for each nominal. Sort alphabetically.,bar
"Plot the nominal v.s. nominal on a scatter plot, broken down by nominal.",heatmap
Plot the total nominal over time for each nominal.,line
Plot the average nominal each nominal across all movies.,line
Plot a histogram of movie nominal.,bar
Plot nominal rating v.s. IMDB rating on a scatter plot.,heatmap
"Plot the nominal versus nominal for individual movies, coloring each movie by its genre.",heatmap
"Compare the number of nominals in USA, Japan and Europe ?",bar
What nominal of movie had the highest nominal for each nominal?,bar
What is the relationship between nominal and nominal for each nominal?,heatmap
What is the relationship between nominal and average nominal?,line
What nominal had the highest average nominal?,bar
What nominal had the lowest average nominal?,bar
How much did average nominal vary by nominal?,bar
How many movies are there are of each nominal?,bar
Which nominal had the most movies?,bar
Which nominal had the fewest movies?,bar
What is the total nominal for each nominal across time?,line
Is there a relationship between nominal and nominal for each nominal?,heatmap
What is the distribution of nominals for each movie?,bar
Is there a relationship between IMDB rating and nominal rating?,heatmap
Does higher nominal mean lower nominal?,heatmap
How many nominal do cars manufactured in different countries have?,bar
Group cars by countries and nominal,bar
Weight of cars grouped by nominal,line
Compare nominal vs nominal across different countries,heatmap
Show distribution of cars by nominal,bar
Histogram of cars by nominal,bar
Compare car cylinder count against nominal across countries,bar
How many cars do each nominal manufacture?,bar
Histogram of car nominals by nominal,bar
What's the mileage for cars based on the number of nominal present?,bar
Does higher cylinder count mean mean lower mileage?,bar
How does mileage relate to cylinder count?,bar
What were the total nominal for each date in each nominal?,line
How much was sold each day for each nominal?,line
"Create a line chart showing order date and sum of nominal, divided by nominal",line
What is the average nominal for each nominal?,bar
Create a bar chart showing average nominal by nominal,bar
What is the relationship between nominal and nominal?,heatmap
Create a scatter plot showing nominal vs. nominal,heatmap
What is the average nominal of each nominal divided by nominal?,bar
Create one bar chart for each nominal showing average nominal by nominal,bar
What is the nominal for each date?,line
Create a line chart showing total nominal over time,line
How many orders were placed for each order quantity?,bar
Create a bar chart showing order quantity vs. count,bar
What is the relationship between nominal and nominal for each nominal?,heatmap
"Create a scatter plot showing nominal vs. nominal, with each point colored by nominal",heatmap
What is the relationship between nominal and nominal for each nominal?,heatmap
Create one scatter plot for each nominal that shows the relationship between nominal and nominal,heatmap
How many orders were placed for each sub-nominal?,bar
"Create a bar chart that shows count of each sub-nominal, sorted high to low by count",bar
"What is the total nominal for each nominal, based on nominal?",bar
"Create a stacked bar chart showing nominal and nominal, colored by nominal",bar
Create bar chart based on nominal and AVG(Profit),bar
Create Bar Chart | X-axis is Order Quanitity | Y-Axis is COUNT,bar
Create Scatterplot | X-axis is Profit | Y-axis is Sales,heatmap
"Create Bar chart | X axis is Ship Mode | Y axis is AVG(Profit) | Separate by First Class, Same Day, Second Class, Standard Class | Color by Segment",bar
Create line graph | Axes are Order Date and SUM(Sales) | Color by nominal,line
Create line graph | Axes are Order Date and SUM(Sales Forecast),line
Create scatterplot | Axes are nominal and nominal | color by nominal,heatmap
create bar graph | axes are sub-nominal and count | order by descending,bar
create stacked bar chart | axes are nominal and SUM(Profit) | color by nominal,bar
create scatterplot | axes are nominal and nominal | separate by nominal // or // dual x axis nominal,heatmap
Show me a bar graph of the average nominal per nominal,bar
Show me the count of each order quantity,bar
Show me the nominal for each order date,line
Show me the count of each subnominal of product,bar
"Show me the nominal of furniture, office supplies, and technology over time",line
Show me the nominal versus nominal of each nominal,heatmap
Show me the nominal versus nominal for each nominal | Divide the data into 4 graphs,heatmap
Show me the nominal versus nominal,heatmap
Show me a bar graph of the nominal for each nominal | Make the bars stacked with the nominal,bar
bar chart for nominal v/s nominal,bar
what is the average MPG for different nominal,bar
Show the scatter plot between horse power and nominal,heatmap
What is the relation between nominal and nominal,heatmap
Through a visualization show average nominal of cars for each nominal from 1997 to 2011,line
Show the relationship between number of cars and nominal in each nominal,bar
What is the average nominal distribution of cars between 1974 and 1980,line
Show a bar chart showing nominal distribution of cars,bar
"for nominal in USA, JAPAN and EUROPE show MPG vs Displacement ",heatmap
For each nominal show the relationship between average nominal and number of nominal,bar
Give different scatter plots of nominal vs nominal for each nominal,heatmap
Show number of cars from each nominal,bar
Graph to show the nominal for cars from different countries segregated based on number of nominal,bar
Scatter plot to show nominal on X axis and Acceleration on Y Axis,heatmap
Bar graph to show number of nominal on X Axis and Average MPG on Y Axis,bar
Bar graph to show nominal on X Axis and count of cars on Y Axis,bar
Stacked bar chart to show number of nominal on X Axis and count of cars  segregated nominal wise on Y Axis ,bar
Line chart to show average nominal of cars based on the nominal in which they were produced,line
"3 scatter plots, one each for every Europe, Japan, and USA, to show nominal on X Axis and Acceleration on Y Axis",heatmap
One scatter plot to show nominal on X Axis and MPG on Y Axis | Scatter points to be different for each change in value of field Origin,heatmap
"Line chart showing Year on X Axis and Average Horsepower on Y Axis', 'Different lines for different Origin",line
Bar graph to show number of cars from different Origins,bar
show me the order count grouped by quantity,bar
"select nominal, nominal from table group by(nominal)",heatmap
"select nominal, class from table group by nominal",bar
Visualize average accelaration based on number of cyclinders a nominal has summed across different nominals,bar
Visualize accelaration v/s nominal across distribution across different nominals,heatmap
Trend for average nominal over time across different nominal,line
Visualize distribution of nominals by number of cyclinders grouped by nominal,bar
Plot count of nominals by grouped by nominal,bar
Visualize distribution of MPG v/s nominal across nominal,heatmap
Visualize the general trend of car nominal nominals over the nominals,line
Visualize the distribution of nominals by nominal into 8 buckets,bar
plot the distribution of nominal v/s nominal ,heatmap
Plot average MPG by number of nominal,bar
"Mean nominal group by Cylinders and Origin, X axis Origin, Color Origin, Each plot Cylinders",bar
"Stacked bar chart, x axis cylinder, y axis count, color by Origin",bar
"Scatter plot, x axis nominal, y axis nominal",heatmap
"Scatter plot, x axis Displacement, Y axis MPG, Color by Origin",heatmap
"Bar chart, x axis nominal, y axis mean MPG",bar
"Scatterplot, x axis nominal, y axis nominal, facet by nominal",heatmap
"Bar chart, x axis nominal, y axis count of rows",bar
"Histogram of nominal, bin width of 500, min x axis 1500, max x axis 5500",bar
Worldwide Gross by Production Budget by Rating in Scatterplot format,heatmap
"Histogram of nominal, in 20 minute bands",bar
Scatterplot of Worldwide Gross by Production Budget with different colors by nominal,heatmap
Line graph of average Production Budget across Release Year,line
"Average nominal by Creative Type, with separate graphs by Content Rating",bar
"Line graph of total Worldwide Gross by Major Genre, across Release Year",line
Scatterplot of Rotten Tomatoes Rating by nominalating,heatmap
"Bar chart of total nominal by nominal, by nominal",bar
Count of movies by Creative Type,bar
Bar chart of average nominal by nominal,bar
plot nominal by average nominal | color by nominal,line
plot nominal by nominal | color by nominal,heatmap
plot nominal by average nominal,line
plot nominal by nominal,heatmap
plot nominal by average nominal,bar
"plot separately nominal by average nominal', 'color by nominal",bar
plot nominal,bar
plot cylinder histogram | stack by nominal,bar
plot nominal histogram,bar
plot nominal vs nominal by nominal,heatmap
"draw a line chart of monthly nominal by order date, with a different colored line for each nominal",line
draw a scatterplot of nominal vs nominal where nominal is on the x-axis and points are colored by nominal,heatmap
draw a bar chart of count by sub-nominal,bar
"by nominal, draw a scatterplot of nominal and nominal, with nominal on the x axis",heatmap
draw a line chart of daily nominals,line
"draw a histogram showing the count by order quantity, with a 2 order bin size",bar
"by nominal, draw a bar chart of average nominal by split by nominal",bar
"make a stacked bar chart summing nominal across nominal, where nominal is colored by nominal",bar
"make a bar chart of avgerage nominal by nominal, with nominal on x axis.",bar
"make a scatterplot of nominal vs nominal, with nominal on x-axis",heatmap
Plot count of cars by nominal,bar
show nominal of cars by nominal for different orgin,heatmap
show scatterplot of cars nominal to nominal by nominal,heatmap
show how MPG varies with nominal by different nominal,heatmap
visualize in scatter plot the Displacement and MPG by orgin,heatmap
show how nominal varies each nominal by nominal,line
show nominal for each cylinder type,bar
how nominal varies for different cylinder type,bar
show nominal by nominal by nominal,bar
how nominal varies with number of nominal by nominal,bar
show nominal by nominal,line
how nominal varies each nominal,line
how is nominal related to nominal,heatmap
nominal to nominal,heatmap
show scatter plot of accelration and horse power,heatmap
show number of cars produced by each nominal,bar
count of cars by nominal,bar
show nominal by count,bar
show cars produced by diiferent nominal in various nominal,bar
"plot the (nominal, nominal) pairs.",heatmap
Show me small multiples of nominal by nominal for each nominal.,heatmap
stacked bar of genre and nominal colored by nominal,bar
Movie count based on nominal,bar
How has nominal changed over time by nominal? ,line
"For each nominal, average nominal per nominal",bar
"For each nominal, average nominal Color by nominal",bar
Movie run time distribution,bar
Display budget by gross of movies broken down by nominal,heatmap
Have cars gotten lighter over time?,line
show me bar charts of average nominal by nominals grouped by nominal,bar
Average nominal over nominal,line
Line chart average nominal over nominal,line
Show a count of movies by nominal.,bar
plot average nominal over nominal,line
show me average nominal over nominal,line
Gross vs. nominal over different ratings ,heatmap
Show nominal timeline by movie genre,line
plot IMDB rating against nominal rating,heatmap
Histogram by nominal | Count of binned nominal,bar
"give me wordwide gross versus nominal, colored by nominals",heatmap
"scatter(nominal, MPG) | color by Origin",heatmap
Show a count of movies binned by nominal in 20-minute increments.,bar
How production budge changes over nominals?,line
show me nominal averaged by nominals,bar
Show a time series plot by nominal of the nominal sum of movies by genre.,line
"show number of orders for the sub categories as bar chart, and sort the bars by count, highest first",bar
give me a bar chart of nominal sum by nominals stacked by nominals,bar
What was the average nominal of movies by nominal?,line
"show the total nominal over time as line chart for the categories furniture, office supplies, and technology",line
show nominal and nominal as a scatter plot,heatmap
I want to see trend of nominal by the nominal,line
show a histogram for order quantity,bar
show the total number of nominal over time,line
show the average nominal by nominal,bar
"What's the average nominal of the different rated movies, separated by nominal.",bar
show the nominal vs nominal as scatter plots | use one plot for each nominal,heatmap
Stack bar chart of SUM(nominal) vs. movie genre based on nominal,bar
"Groupby(Ship Mode) | For each nominal, groupby (nominal) | For each (nominal, nominal), get average of nominals",bar
"For each nominal, plot a bar graph where each bar indicates the average nominal of each nominal",bar
Which genre movie makes most nominal,bar
"show nominal vs nominal as scatter plot', 'use a different color for each nominal",heatmap
Show me count of movie runtimes ,bar
Plot nominal against nominal for the different rating categories of movies.,heatmap
Are IMDb rating and nominal rating related,heatmap
what is the nominal trend of the different product categories?,line
show me the nominal nominal by cylinder count in a bar chart,bar
Sum nominal in a bar chart,bar
show me the average nominal in a line chart,line
show me average nominal based on nominal and nominal of nominal,bar
show me the count of cars by nominal of nominal in bar chart,bar
should me nominal compared to nominal in a scatter chart,heatmap
How many products have 3 or more quantity ordered ?,bar
How many products are ordered in single quantity ?,bar
show me average Miles Per Gallaon by nominal in a bar chart,bar
show me MPG by nominal and nominal in scatter chart,heatmap
show me nominal by nominal and by nominal of nominal,heatmap
Density of nominal across nominals and their nominalability,heatmap
What are the nominals across different nominals?,bar
What product nominal has more orders placed?,bar
Distribution of product sub categories by ordered quantity,bar
nominal between Jan 2016 and July 2017,line
Profitable Sales across nominals,heatmap
what is the nominal distribution per genre,bar
Show nominal count by nominal in a bar chart,bar
what's the breakdown of nominal by nominal per nominal?,bar
Show nominal and MPG in a XY chart | Add nominal in legend,heatmap
budget over time,line
Plot average nominal against cyliners,bar
Show average mgp for each type of cylinder,bar
plot average nominal across time,line
show time series plot of average nominal,line
show frequency by nominal,bar
Show distribution by counties,bar
Plot average nominal across time by countries,line
"For each nominal, show time series of average horse power",line
Show distribution of nominal by nominal,bar
Scatter plot of nominal across nominal,heatmap
Plot wight across nominal for each nominal separately,heatmap
Show distribution of nominal,bar
Show histogram of nominal,bar
"Show average horse power across nominal, each nominal shown separately",bar
Rating of movies in IMBD and Rotten Tomatoes,heatmap
Plot MPG vs Displacement colored by Origin,heatmap
Plot nominal vs Horsepower,heatmap
budget vs gross income across movie genres,heatmap
Plot the average of MPG vs Cylinders,bar
Plot AVG(MPG) vs Cylinders,bar
nominal across nominals,line
Show me nominals by number of nominal per product,heatmap
"Plot the average of Acceleration, grouped by Cylinders, colored by Origin",bar
Show me by nominal nominal and nominals by product,heatmap
nominal vs nominal regarding movie rating,heatmap
gross across genres,bar
"Plot the Count of cars vs Cylinders, colored by Origin, stacked by Origin",bar
I want to know how many orders there are by the quantity of the order,bar
"Draw axes for the average of Horsepower vs Year, colored by Origin",line
"Draw axes for AVG(Horsepower) vs Year, colored by Origin",line
Visualize in one chart nominal and nominals by product by nominal,heatmap
"Plot Acceleration vs Weight, grouped by Origin",heatmap
Show me how many products were ordered by sub-nominal,bar
Plot Count vs Origin,bar
Plot ROWCOUNT vs Origin,bar
Plot Count(cars) vs Origin,bar
By nominal show our nominals based on the shipping status of the order,bar
Plot Count of cars vs Weight,bar
What is our nominal based on shipping mode by customer nominal?,bar
average length of movies,bar
Show me the average nominal by nominal where the order was placed,bar
Show me our forecasted number of nominal between Jan 2016 and December 2017,line
Draw the axes for the average of Weight vs Year,line
Draw the axes for AVG(Weight) vs Year,line
Product Sales Revenue by Month,line
Product Single Order Quantity Trend,bar
Profit vs. Sales Cluster,heatmap
Profit vs. Sales Cluster by Region,heatmap
Profit vs. Sales Cluster by Region,heatmap
Profit by State,bar
count by nominal,bar
average nominal by nominal ,line
count by nominal and nominal,bar
count by nominal,bar
nominal by nominal ,heatmap
nominal by nominal ,bar
Europe nominal by nominal | japan | usa,heatmap
how does Rotten Tomatoes Rating change as nominalating?,heatmap
What is the total nominal earned by each nominal and nominal?,bar
Total ww gross by genre and nominal,bar
Give me a stacked column chart of nominal by genre and rating,bar
"For each genre and rating, what is the total world-wide gross earnings?",bar
How much did each type of movie earn in across the whole world?,bar
Global boxoffice by genre and mpaa rating,bar
How much money did movies of each genre and rating make?,bar
"What was the average budget for each nominal and nominal, as multiple column charts",bar
"For each nominal, show a column chart of average nominal by nominal",bar
Average budget by nominal,line
What is the average nominal in each nominal,line
Give me a line chart of average budget by nominal,line
Compare imdb rating to nominal rating,heatmap
Show a scatter plot of imdb rating vs nominal rating,heatmap
Give me a scatter plot showing a comparison of ratings between imdb and nominal,heatmap
Count movies by nominal,bar
Which nominals have the most movies?,bar
Sort nominals by number of movies,bar
Count of movies by nominal as a bar chart,bar
Give me a scatter chart of nominal vs nominal for each nominal,heatmap
"For each nominal, compare budget vs gross in a scatter plot",heatmap
Give me a scatter plot of budget vs gross broken down by movie but with genre as a legend,heatmap
"For each movie, show its budget and gross on a scatter plot and include the genre",heatmap
Average ww gross by genre,bar
"On average, how much was earned by movies of each genre?",bar
Total gross by nominal and genre,line
Total gross by genre and nominal,line
Gross by genre and nominal,line
"Gross, nominal and genre as a line chart",line
Give me a histogram of the number of movies by nominal,bar
How many movies are of each length?,bar
Count the movies by how long they are,bar
Show a histogram of the number of movies by how long they are,bar
Count movies by how long they are to the nearest 20 minutes,bar
Count movies by length in 20 minute buckets,bar
Show the trend in the total nominal from january to october 2017,line
What is the nominal vs nominal ratio of the four nominals,heatmap
What is the average nominal of each nominal,bar
What is the nominal vs nominal ratio of all the zones,heatmap
arrange the sub categories as per order count,bar
What is the average nominal of different nominals on the nominals of transport,bar
how much is the nominal for nominal for each,heatmap
plot a histogram of the total count of orders,bar
show the trend in nominal of all categories,line
Show the total gross across genres over time,line
Group by Origin | plot Year by AVG Horsepower,line
"Faceting on Origin, plot Weight by Acceleration",heatmap
Group by Cylinders | Plot Cylinders by AVG MPG,bar
"Coloring by Orign, Plot Displacement by MPG",heatmap
Plot Year by AVG Weight,line
Plot a histogram of Weight with a bin width of 500,bar
"Group by Origin | Faceting on Cylinder, plot Cylinder by AVG Acceleration",bar
histogram of nominal,bar
bar chart of AVG nominal for movies in each genre,bar
bar chart of number of movies in each creative nominal,bar
line chart of AVG nominal of each nominal,line
scatter plot of IMDB rating vs Rotten tomatoes rating,heatmap
scatter plot of nominal vs nominal for G rated movies | scatter plot of nominal vs nominal for PG rated movies | scatter plot of nominal vs nominal for PG-13 rated movies | scatter plot of nominal vs nominal for R rated movies,heatmap
"Stacked bar chart of total nominal for each genre, separated by rating",bar
"scatter plot of nominal vs nominal, colored by genre",heatmap
"bar chart for each rating, showing avg nominal per nominal",bar
"line chart of total nominal over each nominal, line for each genre",line
Plot IMBD vs Rotten Tomatoes ratings for all movies,heatmap
Help me see outliers in IMDB and Rotten Tomatoes ratings,heatmap
Show me a boring bar chart of movie nominal and count,bar
Give me a histogram of nominal for movies,bar
"Groupby (nominal) | For each nominal, groupby (nominal) | For each (nominal, nominal), calculate the sum of nominal",bar
"For each (nominal, nominal), plot the sum of the nominal into a stacked bar",bar
The distribution of the order quantity | Histogram,bar
What was the average nominal of movies by genre?,bar
"scatter(x=nominal,y=nominal) for nominal",heatmap
"Groupby (sub-nominal)  | For each sub-nominal, count the number of elements (== count)",bar
"For each sub-nominal, plot a bar of the count for the sub-nominal",bar
Display nominal by release date,line
The average nominal of orders by each nominal | Bar chart,bar
"Groupby (Order Date) | For each Order Date, calculate sum of the nominal",line
"Draw a line graph that connects all (order date, sum of nominal) pairs",line
Display column graph of average nominal by nominal broken down by nominal,bar
Chart scatter plot of nominal by nominal broken down by nominal,heatmap
"For each data element, draw a circle at (its nominal, nominal) with the proper color by the nominal",heatmap
Create histogram of nominal,bar
"groupby (nominal) | for each nominal, draw a scatter plot where a dot is located at (its nominal, nominal)",heatmap
The count of orders by sub-nominal | Bar chart | Descending order,bar
"groupby(nominal) | for each nominal, get average of nominal",bar
"For each nominal, draw a bar that has its average nominal as the height",bar
Chart scatter plot of nominal by worldwide growth coded by nominal,heatmap
The distribution of nominal and nominal by nominals | Scatter plots,heatmap
Create column graph of nominal by nominal for all movies,bar
Create stacked column graph of nominal by nominal by nominal,bar
The distribution of nominal and nominal by nominals | Colored scatter plot,heatmap
Split Ship Mode by nominal and segement and Avg(Profit) render barchart,bar
Avg(Profit) Split by Ship Mode by nominal and segement,bar
Split nominal by nominal and Sum(Profit) render Stacked barchart,bar
Split nominal by nominal and Sum(Profit) render best,bar
Show Avg(Profit) by nominal asc,bar
Show Avg(Profit) by nominal asc render best,bar
Count Sub-Category Asc,bar
Count asc Sub-Category render best,bar
Sum(Sales) X Sum(Profit) Y by nominal render cluster,heatmap
Sum(Sales) 1 Sum(Profit) 2 by nominal render cluster,heatmap
Count Order Quantity asc render best,bar
Count Order Quantity asc order render best,bar
Sum(Sales Forecast) by Order Date asc render line,line
Sum(Sales Forecast) by Order Date asc render best,line
Sum(Profit) and Sum(Sales) render cluster,heatmap
Sum(Profit) 1and Sum(Sales) 2 render cluster,heatmap
Sum(Profit) x and Sum(Sales) y render cluster,heatmap
Sum(Sales)  by Order Date split by Category render line ,line
Sum(Sales)  by Order Date split by Category render line asc,line
Average MPG based on nominal,bar
"Show me each car's nominal by nominal, and split out separate charts for each nominal",heatmap
Histogram of number of cars by nominal,bar
each car's acceleation by nominal,heatmap
how many nominals are proudced by each nominal,bar
what is the average nominal of cars over time,line
"chart each nominal MPG by nominal, and idetnify coutnry of nominal",heatmap
"show average nominal by nominal of nominal, with separate charts for # of nominal",bar
"total number fo nominals based on number of nominal, with breakdown by nominal",bar
"Show average nominal over time, separated by nominal of nominal",line
gross per genre over time,line
Show nominal and AVG(Horsepower) in line chart | Add nominal to legend,line
breakdown of movies by nominal,bar
Show nominal and nominal in a XYplot | Add nominal to groups,heatmap
IMDB rating by nominal rating,heatmap
budget by nominal per nominal,heatmap
Show Cylinders and AVG(Acceleration) in bar chart | Add Cylinders to groups | Add Origin to legend,bar
prod budget by gross for movies per genre,heatmap
Show me the total nominal over time by nominal for the nominals,line
Show me how many movies were made by nominal,bar
How much did nominals gross in total,bar
Show me a scatterplot of movies by imdb rating and nominal rating,heatmap
Show me the total nominal for all nominals in a stacked bar chart and color it out by nominal,bar
